ID,Office_PIN,Applicant_Gender,Applicant_Marital_Status,Applicant_Occupation,Applicant_Qualification,Manager_Joining_Designation,Manager_Current_Designation,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Business_Sourced,Applicant_Age,Manager_Age,Manager_Tenure,Application_Receipt_Month,Application_Receipt_Year,City_Name,Country_Name
FIN1000036,560001,M,S,Salaried,Graduate,2.0,4.0,Probation,M,0.0,0.0,0.0,0.0,1,31.0,31.0,0.0,4,2007,Karnataka,India
FIN1000037,282001,F,S,Others,Class XII,2.0,3.0,Confirmation,M,0.0,0.0,286702.0,19.0,1,69.0,31.0,26.0,4,2007,Uttar Pradesh,India
FIN1000038,803101,F,S,Salaried,Class X,1.0,3.0,Confirmation,M,1.0,1.0,295775.0,19.0,1,18.0,49.0,27.0,4,2007,Bihar,India
FIN1000039,803101,M,S,Others,Class XII,1.0,1.0,Confirmation,M,2.0,0.0,194597.0,15.0,0,19.0,31.0,9.0,4,2007,Bihar,India
FIN1000040,201010,M,M,Business,Class XII,2.0,2.0,Confirmation,M,3.0,2.0,347412.0,18.0,1,27.0,35.0,11.0,4,2007,Uttar Pradesh,India
FIN1000041,841428,M,S,Others,Graduate,1.0,3.0,Confirmation,M,0.0,1.0,853436.0,51.0,0,22.0,28.0,28.0,4,2007,Bihar,India
FIN1000042,284001,F,S,Others,Class X,1.0,2.0,Confirmation,M,1.0,1.0,171830.0,16.0,0,18.0,39.0,11.0,4,2007,Uttar Pradesh,India
FIN1000043,803101,M,S,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,1158533.0,74.0,1,26.0,46.0,16.0,4,2007,Bihar,India
FIN1000044,803101,M,M,Salaried,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,290235.0,18.0,0,34.0,24.0,11.0,4,2007,Bihar,India
FIN1000045,201010,M,M,Salaried,Graduate,2.0,2.0,Confirmation,M,2.0,2.0,259713.0,14.0,0,32.0,41.0,11.0,4,2007,Uttar Pradesh,India
FIN1000046,201010,M,S,Business,Graduate,2.0,2.0,Confirmation,M,3.0,2.0,347412.0,18.0,0,28.0,35.0,11.0,4,2007,Uttar Pradesh,India
FIN1000047,124001,M,M,Business,Class XII,2.0,2.0,Confirmation,M,0.0,1.0,127324.0,9.0,0,33.0,27.0,14.0,4,2007,Haryana,India
FIN1000048,274001,M,S,Business,Class XII,1.0,1.0,Confirmation,M,2.0,1.0,189374.0,12.0,0,20.0,27.0,6.0,4,2007,Uttar Pradesh,India
FIN1000049,201010,M,S,Others,Graduate,2.0,2.0,Confirmation,M,2.0,0.0,147062.0,11.0,0,28.0,27.0,18.0,4,2007,Uttar Pradesh,India
FIN1000050,533101,M,M,Business,Class XII,1.0,2.0,Confirmation,M,2.0,3.0,233726.0,14.0,0,30.0,53.0,10.0,4,2007,Andhra Pradesh,India
FIN1000051,826001,F,S,Business,Class XII,2.0,2.0,Confirmation,M,0.0,1.0,74915.0,7.0,0,19.0,43.0,10.0,4,2007,Jharkhand,India
FIN1000052,803101,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,1158533.0,74.0,0,37.0,46.0,16.0,4,2007,Bihar,India
FIN1000053,803101,F,M,Business,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,290235.0,18.0,0,33.0,24.0,11.0,4,2007,Bihar,India
FIN1000054,803101,M,S,Others,Class X,,,,,,,,,0,19.0,,,4,2007,Bihar,India
FIN1000055,803101,M,S,Salaried,Class XII,,,,,,,,,0,29.0,,,4,2007,Bihar,India
FIN1000056,211001,M,S,Salaried,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,147461.0,12.0,0,20.0,29.0,8.0,4,2007,Uttar Pradesh,India
FIN1000057,211001,M,M,Business,Class XII,1.0,1.0,Confirmation,M,0.0,1.0,215479.0,15.0,0,24.0,36.0,11.0,4,2007,Uttar Pradesh,India
FIN1000058,211001,M,M,Salaried,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,851557.0,39.0,0,31.0,32.0,56.0,4,2007,Uttar Pradesh,India
FIN1000059,500016,M,M,Salaried,Graduate,2.0,5.0,Confirmation,F,1.0,0.0,1274525.0,21.0,0,30.0,38.0,65.0,4,2007,Telangana,India
FIN1000060,803101,M,M,Others,Class XII,1.0,3.0,Confirmation,M,1.0,1.0,295775.0,19.0,0,35.0,49.0,27.0,4,2007,Bihar,India
FIN1000061,390020,M,M,Others,Graduate,1.0,3.0,Confirmation,M,0.0,0.0,343190.0,17.0,0,38.0,35.0,44.0,4,2007,Центральный федеральный округ,Россия
FIN1000062,824101,M,M,Business,Class X,1.0,2.0,Confirmation,M,1.0,1.0,433819.0,35.0,0,22.0,30.0,36.0,4,2007,Bihar,India
FIN1000063,390020,M,M,Business,Class XII,0.0,4.0,Confirmation,M,2.0,0.0,1149571.0,13.0,0,31.0,27.0,3.0,4,2007,Центральный федеральный округ,Россия
FIN1000064,211001,M,S,Others,Class XII,1.0,2.0,Confirmation,M,0.0,1.0,768525.0,36.0,0,20.0,29.0,55.0,4,2007,Uttar Pradesh,India
FIN1000065,171006,M,M,Others,Class XII,1.0,2.0,Confirmation,M,2.0,0.0,178485.0,6.0,0,22.0,22.0,22.0,4,2007,Himachal Pradesh,India
FIN1000066,834001,F,S,Salaried,Graduate,1.0,3.0,Confirmation,M,0.0,0.0,259180.0,9.0,0,22.0,38.0,53.0,4,2007,Jharkhand,India
FIN1000067,834001,F,S,Salaried,Class XII,1.0,1.0,Confirmation,F,0.0,0.0,102178.0,6.0,0,43.0,32.0,8.0,4,2007,Jharkhand,India
FIN1000068,814112,M,M,Others,Class XII,1.0,1.0,Confirmation,M,2.0,1.0,230402.0,17.0,0,20.0,36.0,11.0,4,2007,Jharkhand,India
FIN1000069,800001,M,M,Business,Graduate,1.0,1.0,Confirmation,M,1.0,1.0,168546.0,13.0,0,50.0,34.0,11.0,4,2007,Galați,România
FIN1000070,841428,M,M,Others,Class XII,1.0,3.0,Confirmation,M,0.0,1.0,853436.0,51.0,0,36.0,28.0,28.0,4,2007,Bihar,India
FIN1000071,500016,F,S,Salaried,Graduate,1.0,1.0,Confirmation,M,4.0,0.0,39485.0,2.0,0,28.0,35.0,3.0,4,2007,Telangana,India
FIN1000072,121002,M,M,Others,Graduate,1.0,1.0,Confirmation,F,5.0,3.0,241031.0,20.0,0,20.0,23.0,9.0,4,2007,Haryana,India
FIN1000073,533101,F,S,Salaried,Class XII,1.0,2.0,Confirmation,M,4.0,1.0,124008.0,10.0,0,22.0,32.0,11.0,4,2007,Andhra Pradesh,India
FIN1000074,520010,F,M,Salaried,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,81786.0,7.0,0,25.0,24.0,11.0,4,2007,Andhra Pradesh,India
FIN1000075,575003,M,M,Business,PostGrad,1.0,1.0,Confirmation,M,0.0,0.0,461788.0,21.0,0,31.0,43.0,7.0,4,2007,Karnataka,India
FIN1000076,121002,M,M,Salaried,Class XII,2.0,2.0,Confirmation,M,1.0,0.0,458532.0,21.0,0,54.0,33.0,18.0,4,2007,Haryana,India
FIN1000077,121002,M,M,Business,Class XII,1.0,1.0,Confirmation,M,2.0,0.0,205084.0,17.0,0,32.0,28.0,17.0,4,2007,Haryana,India
FIN1000078,121002,M,M,Salaried,Class XII,2.0,3.0,Confirmation,M,0.0,0.0,103161.0,4.0,0,35.0,49.0,45.0,4,2007,Haryana,India
FIN1000079,700016,M,M,Others,Class XII,2.0,3.0,Confirmation,M,0.0,1.0,99105.0,5.0,0,29.0,37.0,15.0,4,2007,West Bengal,India
FIN1000080,600017,M,S,Salaried,Class XII,1.0,2.0,Confirmation,M,3.0,0.0,172797.0,11.0,1,25.0,38.0,29.0,4,2007,Tamil Nadu,India
FIN1000081,600017,M,M,Business,Class XII,1.0,2.0,Confirmation,M,3.0,0.0,172797.0,11.0,1,31.0,38.0,29.0,4,2007,Tamil Nadu,India
FIN1000082,560001,M,M,Business,Graduate,1.0,4.0,Confirmation,M,5.0,1.0,0.0,0.0,1,42.0,30.0,2.0,4,2007,Karnataka,India
FIN1000083,271201,M,M,Others,Graduate,1.0,3.0,Confirmation,M,0.0,0.0,97867.0,8.0,1,22.0,40.0,44.0,4,2007,Uttar Pradesh,India
FIN1000084,284001,M,S,Others,Graduate,,,,,,,,,1,20.0,,,4,2007,Uttar Pradesh,India
FIN1000085,851101,M,S,Business,Class XII,,,,,,,,,1,22.0,,,4,2007,Bihar,India
FIN1000086,474008,M,M,Others,Class XII,2.0,2.0,Confirmation,M,4.0,4.0,212886.0,17.0,1,60.0,40.0,6.0,4,2007,Madhya Pradesh,India
FIN1000087,209625,M,S,Business,Class XII,,,,,,,,,1,25.0,,,4,2007,Uttar Pradesh,India
FIN1000088,284001,M,M,Others,Graduate,1.0,2.0,Confirmation,M,1.0,1.0,264894.0,20.0,0,30.0,40.0,11.0,4,2007,Uttar Pradesh,India
FIN1000089,284001,M,M,Others,Class XII,1.0,2.0,Confirmation,M,1.0,1.0,264894.0,20.0,0,29.0,40.0,11.0,4,2007,Uttar Pradesh,India
FIN1000090,211001,M,S,Salaried,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,193456.0,14.0,0,43.0,33.0,11.0,4,2007,Uttar Pradesh,India
FIN1000091,226001,M,S,Others,Graduate,2.0,2.0,Confirmation,M,0.0,0.0,41810.0,4.0,0,27.0,27.0,11.0,4,2007,Uttar Pradesh,India
FIN1000092,834001,M,M,Others,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,450495.0,10.0,0,39.0,41.0,43.0,4,2007,Jharkhand,India
FIN1000093,226001,M,S,Others,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,76825.0,5.0,0,19.0,44.0,8.0,4,2007,Uttar Pradesh,India
FIN1000094,226001,M,S,Self Employed,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,40162.0,3.0,0,28.0,39.0,10.0,4,2007,Uttar Pradesh,India
FIN1000095,226001,M,M,Others,Class XII,1.0,1.0,Confirmation,M,1.0,0.0,93352.0,7.0,0,33.0,24.0,11.0,4,2007,Uttar Pradesh,India
FIN1000096,226001,F,M,Others,Graduate,1.0,1.0,Confirmation,M,0.0,1.0,57320.0,4.0,0,42.0,46.0,7.0,4,2007,Uttar Pradesh,India
FIN1000097,284001,M,S,Others,Class X,1.0,2.0,Confirmation,M,1.0,1.0,171830.0,16.0,0,19.0,39.0,11.0,4,2007,Uttar Pradesh,India
FIN1000098,226001,M,M,Business,Graduate,2.0,2.0,Confirmation,M,0.0,0.0,41810.0,4.0,0,28.0,27.0,11.0,4,2007,Uttar Pradesh,India
FIN1000099,226001,F,S,Business,Class XII,2.0,2.0,Confirmation,M,0.0,1.0,115986.0,8.0,0,24.0,29.0,5.0,4,2007,Uttar Pradesh,India
FIN1000100,851101,M,M,Others,Class XII,,,,,,,,,0,49.0,,,4,2007,Bihar,India
FIN1000101,500016,M,S,Others,Graduate,1.0,1.0,Confirmation,M,2.0,2.0,409039.0,4.0,0,26.0,29.0,7.0,4,2007,Telangana,India
FIN1000102,803101,M,M,Others,Class XII,1.0,1.0,Confirmation,M,0.0,2.0,271508.0,20.0,0,38.0,27.0,9.0,4,2007,Bihar,India
FIN1000103,271201,M,M,Others,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,213964.0,13.0,0,24.0,30.0,44.0,4,2007,Uttar Pradesh,India
FIN1000104,271201,M,M,Salaried,Class XII,,,,,,,,,0,42.0,,,4,2007,Uttar Pradesh,India
FIN1000105,474008,F,M,Salaried,Class XII,2.0,3.0,Confirmation,M,0.0,2.0,1359705.0,24.0,0,31.0,33.0,6.0,4,2007,Madhya Pradesh,India
FIN1000106,400075,M,M,Salaried,Class XII,2.0,2.0,Confirmation,M,2.0,1.0,12180.0,1.0,1,33.0,44.0,2.0,4,2007,Maharashtra,India
FIN1000107,277001,M,M,Others,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,472579.0,35.0,1,27.0,37.0,44.0,4,2007,Uttar Pradesh,India
FIN1000108,600017,F,M,Others,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,312774.0,19.0,1,43.0,31.0,41.0,4,2007,Tamil Nadu,India
FIN1000109,400075,M,M,Others,Graduate,1.0,2.0,Confirmation,M,4.0,2.0,344142.0,17.0,1,28.0,46.0,3.0,4,2007,Maharashtra,India
FIN1000110,211001,M,M,Business,Class XII,1.0,2.0,Confirmation,M,1.0,2.0,472404.0,33.0,1,31.0,43.0,8.0,4,2007,Uttar Pradesh,India
FIN1000111,122002,F,S,Business,Class XII,3.0,3.0,Confirmation,M,10.0,2.0,30407.0,3.0,0,27.0,32.0,2.0,4,2007,Haryana,India
FIN1000112,211001,M,S,Salaried,Class XII,1.0,2.0,Confirmation,M,1.0,2.0,472404.0,33.0,1,23.0,43.0,8.0,4,2007,Uttar Pradesh,India
FIN1000113,122002,F,S,Salaried,Graduate,3.0,3.0,Confirmation,M,10.0,2.0,30407.0,3.0,0,22.0,32.0,2.0,4,2007,Haryana,India
FIN1000114,492001,M,M,Salaried,Class XII,1.0,1.0,Confirmation,M,1.0,0.0,1077964.0,11.0,1,36.0,40.0,8.0,4,2007,Chhattisgarh,India
FIN1000115,560001,M,M,Others,Class XII,1.0,4.0,Probation,M,0.0,0.0,0.0,0.0,1,65.0,31.0,1.0,4,2007,Karnataka,India
FIN1000116,277001,M,M,Others,Class XII,1.0,4.0,Confirmation,M,0.0,1.0,367899.0,21.0,0,29.0,50.0,38.0,4,2007,Uttar Pradesh,India
FIN1000117,211001,M,S,Business,Class XII,2.0,2.0,Confirmation,M,1.0,1.0,190648.0,14.0,1,18.0,28.0,8.0,4,2007,Uttar Pradesh,India
FIN1000118,125001,M,M,Others,Graduate,1.0,3.0,Confirmation,M,0.0,0.0,392935.0,12.0,0,62.0,34.0,21.0,4,2007,Haryana,India
FIN1000119,530003,F,S,Salaried,Graduate,2.0,2.0,Confirmation,F,4.0,0.0,241429.0,6.0,1,19.0,37.0,4.0,4,2007,Harghita,România
FIN1000120,230001,M,S,Business,Class XII,,,,,,,,,1,25.0,,,4,2007,Гродненская область,Беларусь
FIN1000121,452003,F,S,Others,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,473417.0,18.0,1,20.0,41.0,47.0,4,2007,Madhya Pradesh,India
FIN1000122,444601,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,330198.0,20.0,1,38.0,34.0,42.0,4,2007,Maharashtra,India
FIN1000123,533101,M,M,Business,Class XII,1.0,1.0,Confirmation,M,1.0,0.0,102425.0,7.0,0,65.0,26.0,15.0,4,2007,Andhra Pradesh,India
FIN1000124,390020,M,M,Salaried,Graduate,1.0,4.0,Confirmation,M,0.0,0.0,1964560.0,27.0,1,24.0,34.0,16.0,4,2007,Центральный федеральный округ,Россия
FIN1000125,277001,M,M,Others,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,222130.0,15.0,1,28.0,36.0,43.0,4,2007,Uttar Pradesh,India
FIN1000126,277001,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,222130.0,15.0,0,28.0,36.0,43.0,4,2007,Uttar Pradesh,India
FIN1000127,560001,F,M,Others,Class XII,1.0,4.0,Probation,M,0.0,0.0,0.0,0.0,1,38.0,31.0,1.0,4,2007,Karnataka,India
FIN1000128,560001,F,M,Others,Graduate,2.0,4.0,Probation,M,0.0,0.0,0.0,0.0,1,25.0,28.0,0.0,4,2007,Karnataka,India
FIN1000129,400075,F,S,Others,Graduate,1.0,2.0,Confirmation,F,5.0,2.0,347554.0,16.0,1,18.0,43.0,6.0,4,2007,Maharashtra,India
FIN1000130,208001,M,S,Student,Class XII,1.0,4.0,Confirmation,M,2.0,3.0,991303.0,20.0,1,25.0,45.0,21.0,4,2007,Uttar Pradesh,India
FIN1000131,221010,M,S,Others,Class XII,1.0,3.0,Confirmation,M,0.0,1.0,325047.0,28.0,0,27.0,36.0,36.0,4,2007,Uttar Pradesh,India
FIN1000132,390020,F,S,Salaried,Class XII,1.0,1.0,Confirmation,M,1.0,3.0,213662.0,10.0,1,19.0,23.0,11.0,4,2007,Центральный федеральный округ,Россия
FIN1000133,273001,M,M,Business,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,64636.0,6.0,1,32.0,41.0,7.0,4,2007,Uttar Pradesh,India
FIN1000134,802301,F,M,Others,Class X,1.0,2.0,Confirmation,M,9.0,3.0,176447.0,15.0,1,27.0,39.0,3.0,4,2007,高雄市,臺灣
FIN1000135,802301,M,M,Others,Class X,1.0,2.0,Confirmation,M,9.0,3.0,176447.0,15.0,1,38.0,39.0,3.0,4,2007,高雄市,臺灣
FIN1000136,208001,F,M,Salaried,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,82621.0,5.0,0,37.0,34.0,7.0,4,2007,Uttar Pradesh,India
FIN1000137,444601,F,M,Business,Class XII,3.0,3.0,Confirmation,M,4.0,3.0,256338.0,10.0,1,40.0,31.0,3.0,4,2007,Maharashtra,India
FIN1000138,233001,M,M,Others,Class XII,2.0,3.0,Confirmation,M,0.0,1.0,217853.0,13.0,1,39.0,40.0,17.0,4,2007,Uttar Pradesh,India
FIN1000139,230001,M,S,Business,Class XII,1.0,2.0,Confirmation,M,1.0,0.0,414368.0,27.0,1,20.0,46.0,11.0,4,2007,Гродненская область,Беларусь
FIN1000140,843302,M,M,Salaried,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,404714.0,35.0,1,33.0,33.0,42.0,4,2007,Bihar,India
FIN1000141,843302,M,M,Others,Class XII,,,,,,,,,1,30.0,,,4,2007,Bihar,India
FIN1000142,221010,M,S,Salaried,Class XII,,,,,,,,,0,23.0,,,4,2007,Uttar Pradesh,India
FIN1000143,284001,M,M,Others,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,364224.0,25.0,1,25.0,35.0,39.0,4,2007,Uttar Pradesh,India
FIN1000144,224122,M,S,Others,Class XII,,,,,,,,,0,18.0,,,4,2007,Uttar Pradesh,India
FIN1000145,848101,M,M,Others,Class XII,1.0,4.0,Confirmation,M,0.0,0.0,842149.0,59.0,0,37.0,35.0,22.0,4,2007,Bihar,India
FIN1000146,848101,M,S,Business,Class XII,1.0,1.0,Confirmation,M,2.0,2.0,246630.0,18.0,0,25.0,40.0,7.0,4,2007,Bihar,India
FIN1000147,812001,M,S,Business,Class XII,1.0,1.0,Confirmation,M,0.0,3.0,141863.0,13.0,0,25.0,48.0,5.0,4,2007,Bihar,India
FIN1000148,233001,M,M,Others,Class XII,,,,,,,,,0,26.0,,,4,2007,Uttar Pradesh,India
FIN1000149,211001,M,M,Business,Graduate,2.0,2.0,Confirmation,M,1.0,1.0,190648.0,14.0,0,37.0,28.0,8.0,4,2007,Uttar Pradesh,India
FIN1000150,826001,M,S,Business,Class XII,2.0,2.0,Confirmation,M,0.0,4.0,162420.0,12.0,0,27.0,36.0,5.0,4,2007,Jharkhand,India
FIN1000151,285001,M,S,Business,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,215143.0,12.0,0,27.0,43.0,45.0,4,2007,Uttar Pradesh,India
FIN1000152,380015,M,S,Salaried,Graduate,2.0,2.0,Confirmation,M,1.0,4.0,110556.0,8.0,0,27.0,31.0,5.0,4,2007,Gujarat,India
FIN1000153,285001,M,S,Others,Class XII,1.0,1.0,Confirmation,M,1.0,0.0,80997.0,6.0,0,23.0,25.0,10.0,4,2007,Uttar Pradesh,India
FIN1000154,423203,M,S,Self Employed,Graduate,1.0,1.0,Confirmation,M,1.0,2.0,92023.0,4.0,0,38.0,30.0,6.0,4,2007,Maharashtra,India
FIN1000155,277001,M,S,Others,Class XII,1.0,4.0,Confirmation,M,0.0,1.0,367899.0,21.0,0,22.0,50.0,38.0,4,2007,Uttar Pradesh,India
FIN1000156,277001,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,1.0,238751.0,19.0,0,22.0,35.0,30.0,4,2007,Uttar Pradesh,India
FIN1000157,400075,M,M,Business,Class XII,2.0,5.0,Confirmation,M,0.0,1.0,1846047.0,25.0,0,42.0,29.0,44.0,4,2007,Maharashtra,India
FIN1000158,230001,F,S,Business,Class X,1.0,2.0,Confirmation,M,1.0,0.0,414368.0,27.0,0,26.0,46.0,11.0,4,2007,Гродненская область,Беларусь
FIN1000159,230001,M,S,Business,Class XII,1.0,2.0,Confirmation,M,1.0,0.0,414368.0,27.0,0,23.0,46.0,11.0,4,2007,Гродненская область,Беларусь
FIN1000160,753012,M,S,Self Employed,Graduate,2.0,2.0,Confirmation,M,6.0,2.0,154437.0,12.0,0,22.0,39.0,4.0,4,2007,Odisha,India
FIN1000161,533101,M,M,Salaried,Class XII,1.0,2.0,Confirmation,M,2.0,0.0,118962.0,8.0,0,25.0,33.0,11.0,4,2007,Andhra Pradesh,India
FIN1000162,273001,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,212735.0,17.0,0,30.0,26.0,9.0,4,2007,Uttar Pradesh,India
FIN1000163,273001,M,M,Others,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,212735.0,17.0,0,27.0,26.0,9.0,4,2007,Uttar Pradesh,India
FIN1000164,390020,M,M,Others,Graduate,1.0,1.0,Confirmation,M,4.0,2.0,37200.0,4.0,0,26.0,20.0,3.0,4,2007,Центральный федеральный округ,Россия
FIN1000165,277001,M,S,Others,Class XII,1.0,4.0,Confirmation,M,0.0,1.0,367899.0,21.0,0,26.0,50.0,38.0,4,2007,Uttar Pradesh,India
FIN1000166,530003,M,M,Salaried,Class XII,2.0,2.0,Confirmation,F,4.0,0.0,241429.0,6.0,0,26.0,37.0,4.0,4,2007,Harghita,România
